date,actual_mean_temp,actual_min_temp,actual_max_temp,average_min_temp,average_max_temp,record_min_temp,record_max_temp,record_min_temp_year,record_max_temp_year,actual_precipitation,average_precipitation,record_precipitation
2014-08-16,89,80,98,75,95,63,102,2004,1925,0,0.12,3.95
2014-08-17,88,78,97,75,95,60,104,1992,1909,0,0.12,3.57
2014-08-18,86,76,96,75,95,62,108,1992,1909,0,0.13,6.69
2014-08-19,85,76,94,75,95,69,107,2000,1909,0,0.13,1.85
2014-08-20,85,74,96,75,95,65,107,1976,1909,0.01,0.13,1.8
2014-08-21,87,76,98,75,94,63,106,1940,1909,0,0.13,2
2014-08-22,87,75,98,75,94,64,106,1976,1980,0,0.13,3.25
2014-08-23,87,75,98,75,94,64,107,1973,1980,0,0.13,2.46
2014-08-24,86,74,98,75,94,54,105,1891,1980,0,0.14,2.48
2014-08-25,87,76,97,75,94,55,103,1891,1924,0,0.13,1.9
2014-08-26,86,74,97,74,94,57,104,1891,2011,0,0.14,1.66
2014-08-27,85,75,94,74,94,59,109,1891,2011,0,0.14,8.32
2014-08-28,83,76,90,74,94,63,107,1992,2011,0,0.14,3.88
2014-08-29,83,75,91,74,93,61,107,1992,2011,0.02,0.15,2.89
2014-08-30,84,75,92,74,93,62,104,1986,2000,0,0.15,2.56
2014-08-31,79,74,84,74,93,62,107,1893,2000,0.83,0.16,5.98
2014-09-01,84,74,93,74,93,63,107,1915,2000,0.36,0.15,2.22
2014-09-02,85,76,94,73,93,60,104,1893,2000,0,0.14,1.81
2014-09-03,84,75,93,73,93,60,105,1987,2000,0,0.14,3.2
2014-09-04,85,76,93,73,92,59,109,1974,2000,0,0.14,2.75
2014-09-05,84,75,93,73,92,55,108,1891,2000,0.03,0.14,2.07
2014-09-06,85,75,95,73,92,56,99,1974,1909,0.16,0.14,2.9
2014-09-07,84,73,95,72,92,59,98,1891,1963,0.42,0.15,4.55
2014-09-08,82,72,92,72,92,58,100,1988,1907,0,0.15,0.87
2014-09-09,85,74,95,72,91,59,100,1988,1909,0,0.15,4.22
2014-09-10,87,78,95,72,91,59,99,1988,1993,0,0.16,1.82
2014-09-11,87,76,97,71,91,56,99,1907,1893,0,0.15,4.81
2014-09-12,82,75,89,71,91,56,101,1907,1909,0.02,0.15,2.25
2014-09-13,72,67,77,71,90,56,102,1907,2011,0.01,0.15,7.73
2014-09-14,71,65,77,70,90,55,100,1940,2011,0,0.15,4.11
2014-09-15,80,68,92,70,90,55,98,1892,1980,0,0.14,3.23
2014-09-16,83,75,91,70,90,53,98,1979,1995,0.12,0.13,1.72
2014-09-17,82,75,89,70,89,55,100,2000,1995,0.25,0.13,1.85
2014-09-18,77,73,81,69,89,54,99,2000,1927,2.31,0.13,2.53
2014-09-19,79,73,84,69,89,51,97,1981,1995,0.2,0.12,6.92
2014-09-20,81,73,89,69,89,54,99,1901,1999,0,0.13,7.66
2014-09-21,82,73,91,68,88,53,100,1983,2005,0,0.13,3.07
2014-09-22,83,72,93,68,88,49,100,1983,2005,0,0.12,3.14
2014-09-23,74,64,84,68,88,49,96,1999,1993,0,0.13,2.37
2014-09-24,75,64,85,67,88,48,95,1975,2013,0,0.13,2.22
2014-09-25,74,68,80,67,87,50,99,1994,2005,0,0.13,3.05
2014-09-26,77,68,86,67,87,49,99,2000,2005,0,0.13,2.86
2014-09-27,79,71,86,66,87,45,100,1942,2005,0,0.13,3.46
2014-09-28,81,72,89,66,87,48,98,1909,1998,0,0.13,1.25
2014-09-29,80,70,89,66,86,47,96,1908,2011,0,0.12,2.51
2014-09-30,80,71,89,65,86,47,95,1890,1998,0,0.13,2.55
2014-10-01,83,72,93,65,86,44,99,1984,1900,0.09,0.15,4.62
2014-10-02,82,71,93,65,86,47,97,1984,1938,0.78,0.16,2.25
2014-10-03,74,63,84,65,85,45,95,1975,1994,0.32,0.17,3.24
2014-10-04,68,59,77,64,85,43,95,1975,2002,0,0.17,3.6
2014-10-05,69,53,85,64,85,41,94,1975,2006,0,0.17,2.9
2014-10-06,75,65,84,64,85,44,94,1975,1928,0.69,0.17,4.42
2014-10-07,78,65,90,63,84,46,95,1889,1956,0,0.17,5.76
2014-10-08,80,69,90,63,84,42,96,1952,1962,0.06,0.17,2.07
2014-10-09,79,68,90,63,84,40,93,1976,1962,0,0.17,3.6
2014-10-10,83,75,91,63,84,43,95,1908,1962,0.03,0.17,3.5
2014-10-11,76,66,85,62,83,44,94,1990,1962,0.02,0.18,3.02
2014-10-12,76,65,87,62,83,42,96,1977,1991,0.35,0.18,3.37
2014-10-13,72,59,85,62,83,36,94,1977,1991,0.61,0.18,2.55
2014-10-14,67,54,79,61,83,40,92,1977,1954,0,0.19,4.91
2014-10-15,68,51,84,61,82,40,92,1978,1947,0,0.2,4.87
2014-10-16,72,57,87,61,82,41,92,1893,1989,0,0.21,5.17
2014-10-17,73,60,86,61,82,40,93,1977,1895,0,0.2,4.31
2014-10-18,75,63,86,60,82,39,96,1978,1895,0.5,0.21,4.04
2014-10-19,72,62,81,60,81,36,94,1989,2004,0,0.21,1.23
2014-10-20,71,59,83,60,81,32,93,1989,2004,0,0.2,2.54
2014-10-21,69,55,82,60,81,33,93,1976,2004,0,0.21,2.4
2014-10-22,72,61,82,59,80,41,91,1898,2004,0,0.2,3.7
2014-10-23,69,58,80,59,80,40,91,1996,1988,0,0.2,3.79
2014-10-24,68,54,82,59,80,39,92,1908,1931,0,0.19,2.13
2014-10-25,70,55,85,59,80,39,91,1980,1950,0,0.2,9.25
2014-10-26,71,56,85,58,79,39,92,1892,2010,0,0.2,2.43
2014-10-27,72,58,86,58,79,36,94,1898,2010,0,0.18,2.72
2014-10-28,73,60,86,58,79,36,90,1898,1991,0,0.18,8.04
2014-10-29,73,61,84,57,78,39,90,1910,1991,0,0.18,2.45
2014-10-30,67,55,79,57,78,33,89,1917,2004,0,0.17,5.3
2014-10-31,67,55,79,57,78,29,88,1993,2004,0,0.16,3.84
2014-11-01,55,45,65,57,77,35,89,1993,2010,0,0.15,6.25
2014-11-02,57,41,72,56,77,34,89,1991,1978,0,0.14,4.58
2014-11-03,67,53,80,56,77,30,87,1999,1992,0,0.15,3.09
2014-11-04,72,62,82,56,76,28,89,1991,1988,0,0.16,3.2
2014-11-05,69,64,74,55,76,31,88,1991,1963,1.12,0.16,5.22
2014-11-06,62,58,66,55,76,36,88,1993,1963,0.17,0.15,1.67
2014-11-07,57,49,65,55,75,29,88,1993,2002,0,0.15,1.46
2014-11-08,63,50,75,55,75,34,89,1991,1989,0,0.15,1.47
2014-11-09,60,47,72,54,75,29,88,1991,1969,0,0.15,3.08
2014-11-10,63,45,80,54,74,30,88,1977,1988,0,0.15,2.85
2014-11-11,60,49,71,54,74,32,87,1977,1978,0.01,0.16,1.88
2014-11-12,51,43,58,53,74,32,85,1987,2003,0,0.15,4.68
2014-11-13,41,36,45,53,73,29,86,1907,2005,0.2,0.14,4.53
2014-11-14,41,34,47,53,73,28,89,1969,1921,0,0.15,1.4
2014-11-15,48,43,53,52,73,25,88,1969,1978,0.3,0.14,2.8
2014-11-16,50,42,57,52,72,25,85,1970,1948,0.65,0.14,3.03
2014-11-17,44,36,52,52,72,31,85,1997,2013,0,0.14,5.19
2014-11-18,44,32,55,51,72,28,84,1959,1973,0,0.14,3.36
2014-11-19,50,30,69,51,71,30,85,2014,1985,0,0.14,2.1
2014-11-20,61,46,76,51,71,27,84,1969,1977,0.04,0.13,1.85
2014-11-21,64,61,66,50,71,29,84,1937,1999,0.57,0.14,1.54
2014-11-22,63,58,68,50,70,30,87,1975,1973,0.11,0.13,3.09
2014-11-23,71,61,80,50,70,24,85,1975,1973,0.23,0.14,3.81
2014-11-24,56,45,66,49,70,26,84,1970,1910,0,0.13,3.35
2014-11-25,54,41,66,49,69,29,86,1950,1967,0,0.14,1.7
2014-11-26,58,43,73,49,69,27,86,1975,1967,0,0.14,3.17
2014-11-27,55,43,67,49,69,26,84,1975,1989,0,0.14,3.12
2014-11-28,55,39,71,48,68,26,83,1976,1977,0,0.14,1.82
2014-11-29,69,60,78,48,68,22,83,1976,2006,0,0.15,3.47
2014-11-30,71,61,80,48,68,19,82,1976,1950,0,0.15,1.41
2014-12-01,57,45,69,47,67,26,83,1979,2012,0.03,0.15,5.8
2014-12-02,50,44,56,47,67,28,84,1979,2012,0,0.13,3.28
2014-12-03,59,52,66,47,67,25,85,1929,1995,0,0.14,2.5
2014-12-04,63,53,72,47,67,27,83,1897,2012,0,0.13,1.96
2014-12-05,72,65,79,46,66,26,83,2009,1998,0.07,0.13,2.02
2014-12-06,65,58,71,46,66,20,82,1950,1951,0,0.13,3.08
2014-12-07,57,54,59,46,66,24,84,1950,1998,0,0.13,4.95
2014-12-08,57,46,67,46,66,25,83,1927,2007,0,0.13,1.95
2014-12-09,57,43,70,45,65,25,82,1917,2007,0,0.13,1.69
2014-12-10,56,42,69,45,65,20,83,1978,1939,0,0.12,4.41
2014-12-11,64,56,72,45,65,26,83,1957,2007,0.02,0.12,2.85
2014-12-12,66,57,75,45,65,25,82,1989,1948,0,0.13,2.57
2014-12-13,64,54,74,45,65,19,82,1989,1921,0,0.12,2.85
2014-12-14,67,58,76,45,64,25,83,1985,1995,0,0.12,5.64
2014-12-15,70,59,80,44,64,21,82,1901,1995,0,0.12,2.19
2014-12-16,57,48,66,44,64,19,82,1989,1971,0,0.12,3.05
2014-12-17,54,44,64,44,64,20,80,1932,1984,0,0.12,2.28
2014-12-18,64,57,70,44,64,24,82,1996,1980,0.8,0.11,2.14
2014-12-19,56,52,59,44,64,20,81,1929,1978,3.06,0.12,3.06
2014-12-20,52,50,54,44,63,21,81,1996,1951,0,0.12,2.02
2014-12-21,55,48,61,44,63,21,82,1973,2010,0,0.12,3.41
2014-12-22,64,55,72,44,63,13,81,1989,1981,0,0.11,2.21
2014-12-23,54,48,60,44,63,7,80,1989,1996,0.69,0.13,1.01
2014-12-24,46,37,55,43,63,11,82,1989,1948,0,0.11,2.04
2014-12-25,50,34,66,43,63,11,82,1983,1964,0,0.12,2.09
2014-12-26,61,51,71,43,63,18,78,1983,2005,0.04,0.11,2.06
2014-12-27,60,46,74,43,63,19,81,1892,1971,0.22,0.11,1.38
2014-12-28,44,41,46,43,63,15,80,1894,1996,0.67,0.11,2.7
2014-12-29,44,39,48,43,63,15,81,1894,1984,0,0.1,2.15
2014-12-30,46,38,53,43,63,19,83,1983,1974,0,0.1,1.36
2014-12-31,42,37,46,43,63,18,82,1983,1974,0,0.1,3.35
