date,actual_mean_temp,actual_min_temp,actual_max_temp,average_min_temp,average_max_temp,record_min_temp,record_max_temp,record_min_temp_year,record_max_temp_year,actual_precipitation,average_precipitation,record_precipitation
2015-04-29,65,52,78,63,82,46,92,2008,1987,0,0.13,2.86
2015-04-30,68,53,82,64,83,42,92,1908,1981,0,0.14,3.2
2015-05-01,71,57,84,64,83,45,94,1908,1947,0,0.15,4.11
2015-05-02,70,57,83,64,83,45,96,1976,1964,0,0.15,3.48
2015-05-03,70,57,83,64,83,47,93,1978,1890,0,0.16,5.1
2015-05-04,73,61,84,65,84,42,94,2013,1890,0,0.16,1.72
2015-05-05,73,63,82,65,84,49,94,1970,1906,0.13,0.17,3.6
2015-05-06,78,73,83,65,84,49,94,2013,1906,0.41,0.17,5
2015-05-07,80,74,85,65,84,47,94,1891,1998,0,0.17,2.61
2015-05-08,81,77,85,66,85,45,96,1892,1967,0,0.17,2.34
2015-05-09,82,76,87,66,85,46,94,1984,1998,0,0.17,2.42
2015-05-10,82,77,87,66,85,51,94,1984,1927,0.03,0.17,5.89
2015-05-11,75,69,80,67,85,47,94,1981,1890,0.28,0.17,2.16
2015-05-12,74,69,79,67,85,50,92,1895,1967,0.56,0.16,5.27
2015-05-13,75,68,81,67,86,50,94,1895,1907,1.55,0.16,3.44
2015-05-14,80,72,87,67,86,47,93,1971,1995,0.05,0.16,2.44
2015-05-15,79,73,84,68,86,49,92,1890,2003,0.15,0.18,4.64
2015-05-16,81,73,89,68,86,47,93,1973,2003,0,0.17,2.8
2015-05-17,78,71,85,68,87,52,95,1970,1894,0.98,0.17,4.2
2015-05-18,80,73,86,68,87,50,95,1976,1890,0.24,0.15,6.16
2015-05-19,80,73,86,68,87,50,95,1976,2003,0.02,0.16,6.87
2015-05-20,81,73,89,69,87,48,95,1894,2008,0.31,0.16,4.17
2015-05-21,77,71,82,69,88,53,96,1892,2005,1.08,0.15,5.45
2015-05-22,72,65,79,69,88,48,96,1892,2005,0,0.16,3.1
2015-05-23,79,73,85,69,88,45,95,1892,1996,0.72,0.16,3.99
2015-05-24,75,69,81,70,88,54,95,1892,1955,0.56,0.16,3.96
2015-05-25,77,66,88,70,88,56,95,1979,1927,4.34,0.16,4.34
2015-05-26,76,66,85,70,89,57,98,1979,2011,0.77,0.17,2.91
2015-05-27,76,65,86,70,89,50,98,1901,1928,1.41,0.17,3.99
2015-05-28,80,70,90,70,89,54,98,1901,1906,0,0.17,2.83
2015-05-29,80,70,89,71,89,58,99,1984,1996,0.01,0.17,4.33
2015-05-30,80,69,91,71,89,53,97,1984,1998,0.57,0.17,5.01
2015-05-31,78,69,87,71,90,50,98,1889,1998,0,0.17,3.45
2015-06-01,78,66,89,71,90,53,98,1984,1998,0,0.18,1.32
2015-06-02,79,68,90,71,90,55,100,1892,2011,0,0.17,4.03
2015-06-03,80,69,91,72,90,52,98,1970,1960,0,0.18,3.27
2015-06-04,80,69,90,72,90,59,98,1970,2011,0,0.17,3.72
2015-06-05,82,72,92,72,90,56,105,1970,2011,0,0.18,5.33
2015-06-06,83,72,93,72,91,57,105,1970,2011,0,0.18,2.66
2015-06-07,83,72,93,72,91,58,99,1970,1903,0,0.18,2.29
2015-06-08,83,72,93,72,91,60,99,1977,1980,0,0.19,8.13
2015-06-09,84,74,93,73,91,56,97,1996,1956,0,0.19,2.92
2015-06-10,84,74,94,73,91,57,100,1955,1902,0,0.19,2.92
2015-06-11,84,73,94,73,91,61,101,1976,1902,0.01,0.21,5.63
2015-06-12,83,74,92,73,91,55,101,1979,1978,0,0.22,3.05
2015-06-13,80,74,86,73,91,57,101,1979,1911,0.35,0.21,3.58
2015-06-14,81,74,88,73,91,55,102,1903,1998,0.52,0.21,3.81
2015-06-15,83,75,90,73,92,55,100,1903,2011,0.14,0.21,5.68
2015-06-16,78,75,80,74,92,57,100,1989,1963,2.26,0.21,2.71
2015-06-17,80,76,84,74,92,62,100,1989,1902,0.7,0.21,1.51
2015-06-18,81,76,86,74,92,64,103,1969,1918,0,0.22,3.29
2015-06-19,83,76,90,74,92,64,101,1912,1934,0,0.22,4.43
2015-06-20,84,77,90,74,92,62,101,1976,1902,0.2,0.21,1.99
2015-06-21,86,78,93,74,92,59,100,1976,1998,0,0.21,2.04
2015-06-22,84,76,92,74,92,66,101,1912,1933,0,0.22,3.13
2015-06-23,84,76,92,74,92,60,101,1904,2009,0,0.2,2.22
2015-06-24,84,74,93,74,92,61,104,1904,2009,0,0.21,4.47
2015-06-25,85,75,94,75,92,60,102,1974,2009,0,0.2,2.82
2015-06-26,86,77,94,75,92,59,105,1974,2012,0.13,0.19,10.34
2015-06-27,83,73,93,75,92,57,102,1974,1980,2.38,0.19,2.5
2015-06-28,82,73,90,75,93,59,102,1974,2009,2.24,0.19,2.98
2015-06-29,84,76,92,75,93,59,107,1974,2013,0,0.19,2.5
2015-06-30,82,72,92,75,93,61,103,1985,1980,2.26,0.19,2.26
